rank,Name,Team,POS,Salary,Years,Total Value,Avg Annual
88,Devin Mesoraco,CIN,C,"$13,125,000",4 (2015-18),"$28,000,000","$7,000,000"
89,Josh Reddick,HOU,OF,"$13,000,000",4 (2017-20),"$52,000,000","$13,000,000"
90,J.A. Happ,TOR,SP,"$13,000,000",3 (2016-18),"$36,000,000","$12,000,000"
91,Marco Estrada,TOR,SP,"$13,000,000",1 (2018),"$13,000,000","$13,000,000"
92,Chase Headley,SD,3B,"$13,000,000",4 (2015-18),"$52,000,000","$13,000,000"
93,Jose Abreu,CWS,1B,"$13,000,000",1 (2018),"$13,000,000","$13,000,000"
94,David Robertson,NYY,RP,"$13,000,000",4 (2015-18),"$46,000,000","$11,500,000"
95,Zack Cozart,LAA,3B,"$12,666,666",3 (2018-20),"$38,000,000","$12,666,667"
96,Tyler Chatwood,CHC,SP,"$12,500,000",3 (2018-20),"$38,000,000","$12,666,667"
97,Chris Sale,BOS,SP,"$12,500,000",1 (2018),"$12,500,000","$12,500,000"
98,Denard Span,TB,OF,"$12,333,333",3 (2016-18),"$31,000,000","$10,333,333"
99,Anthony Rendon,WSH,3B,"$12,300,000",1 (2018),"$12,300,000","$12,300,000"
100,Mark Trumbo,BAL,DH,"$12,274,428",3 (2017-19),"$36,887,268","$12,295,756"
101,George Springer,HOU,OF,"$12,000,000",2 (2018-19),"$24,000,000","$12,000,000"
102,Yulieski Gurriel,HOU,1B,"$12,000,000",5 (2016-20),"$47,500,000","$9,500,000"
103,Justin Turner,LAD,3B,"$12,000,000",4 (2017-20),"$64,000,000","$16,000,000"
104,Madison Bumgarner,SF,SP,"$12,000,000",1 (2018),"$12,000,000","$12,000,000"
105,Michael Brantley,CLE,OF,"$12,000,000",1 (2018),"$12,000,000","$12,000,000"
106,Gio Gonzalez,WSH,SP,"$12,000,000",1 (2018),"$12,000,000","$12,000,000"
107,Zach Britton,BAL,RP,"$12,000,000",1 (2018),"$12,000,000","$12,000,000"
108,Lance Lynn,MIN,SP,"$12,000,000",1 (2018),"$12,000,000","$12,000,000"
109,Brett Gardner,NYY,OF,"$12,000,000",4 (2015-18),"$52,000,000","$13,000,000"
110,Carlos Martinez,STL,SP,"$11,800,000",5 (2017-21),"$51,000,000","$10,200,000"
111,Brandon McCarthy,ATL,SP,"$11,500,000",4 (2015-18),"$48,000,000","$12,000,000"
112,Paul Goldschmidt,ARI,1B,"$11,083,333",5 (2014-18),"$32,000,000","$6,400,000"
113,Andrelton Simmons,LAA,SS,"$11,000,000",7 (2014-20),"$58,000,000","$8,285,714"
114,Ian Kinsler,LAA,2B,"$11,000,000",1 (2018),"$11,000,000","$11,000,000"
115,Kendrys Morales,TOR,DH,"$11,000,000",3 (2017-19),"$33,000,000","$11,000,000"
116,Nick Markakis,ATL,OF,"$11,000,000",4 (2015-18),"$44,000,000","$11,000,000"
117,Dee Gordon,SEA,OF,"$11,000,000",5 (2016-20),"$50,000,000","$10,000,000"
118,Starlin Castro,MIA,2B,"$11,000,000",7 (2013-19),"$60,000,000","$8,571,429"
119,Jay Bruce,NYM,OF,"$11,000,000",3 (2018-20),"$39,000,000","$13,000,000"
120,Kris Bryant,CHC,3B,"$10,850,000",1 (2018),"$10,850,000","$10,850,000"
121,Kenley Jansen,LAD,RP,"$10,800,000",5 (2017-21),"$80,000,000","$16,000,000"
122,Corey Kluber,CLE,SP,"$10,700,000",5 (2015-19),"$38,500,000","$7,700,000"
123,Cody Allen,CLE,RP,"$10,575,000",1 (2018),"$10,575,000","$10,575,000"
124,Khris Davis,OAK,OF,"$10,500,000",1 (2018),"$10,500,000","$10,500,000"
125,Brandon Morrow,CHC,RP,"$10,500,000",2 (2018-19),"$21,000,000","$10,500,000"
126,Matt Wieters,WSH,C,"$10,500,000",1 (2018),"$10,500,000","$10,500,000"
127,Francisco Cervelli,PIT,C,"$10,500,000",3 (2017-19),"$31,000,000","$10,333,333"
128,Josh Harrison,PIT,2B,"$10,500,000",4 (2015-18),"$27,300,000","$6,825,000"
129,Mookie Betts,BOS,OF,"$10,500,000",1 (2018),"$10,500,000","$10,500,000"
130,Jaime Garcia,TOR,SP,"$10,000,000",1 (2018),"$10,000,000","$10,000,000"
131,Wei-Yin Chen,MIA,SP,"$10,000,000",5 (2016-20),"$80,000,000","$16,000,000"
132,Gerardo Parra,COL,OF,"$10,000,000",3 (2016-18),"$27,500,000","$9,166,667"
133,Jason Hammel,KC,SP,"$10,000,000",2 (2017-18),"$16,000,000","$8,000,000"
134,CC Sabathia,NYY,SP,"$10,000,000",1 (2018),"$10,000,000","$10,000,000"
135,Jean Segura,SEA,SS,"$9,800,000",5 (2018-22),"$70,000,000","$14,000,000"
136,Joakim Soria,CWS,RP,"$9,333,333",3 (2016-18),"$25,000,000","$8,333,333"
137,Matt Moore,TEX,SP,"$9,250,000",1 (2018),"$9,250,000","$9,250,000"
138,AJ Ramos,NYM,RP,"$9,225,000",1 (2018),"$9,225,000","$9,225,000"
139,Yasiel Puig,LAD,OF,"$9,214,285",7 (2012-18),"$42,000,000","$6,000,000"
140,Ivan Nova,PIT,SP,"$9,166,667",3 (2017-19),"$26,000,000","$8,666,667"
141,Jedd Gyorko,STL,3B,"$9,166,666",6 (2014-19),"$35,510,900","$5,918,483"
142,Jose Altuve,HOU,2B,"$9,000,000",7 (2018-24),"$163,500,000","$23,357,143"
143,Marcell Ozuna,STL,OF,"$9,000,000",1 (2018),"$9,000,000","$9,000,000"
144,Logan Forsythe,LAD,2B,"$9,000,000",1 (2018),"$9,000,000","$9,000,000"
145,Andrew Miller,CLE,RP,"$9,000,000",4 (2015-18),"$36,000,000","$9,000,000"
146,Brad Ziegler,MIA,RP,"$9,000,000",2 (2017-18),"$16,000,000","$8,000,000"
147,Tommy Hunter,PHI,RP,"$9,000,000",2 (2018-19),"$18,000,000","$9,000,000"
148,Brian Dozier,MIN,2B,"$9,000,000",4 (2015-18),"$20,000,000","$5,000,000"
149,Darren O'Day,BAL,RP,"$8,854,712",4 (2016-19),"$31,000,000","$7,750,000"
150,Jose Quintana,CHC,SP,"$8,850,000",5 (2014-18),"$21,000,000","$4,200,000"
151,Kole Calhoun,LAA,OF,"$8,833,333",3 (2017-19),"$26,000,000","$8,666,667"
152,Jhoulys Chacin,MIL,SP,"$8,750,000",2 (2018-19),"$15,500,000","$7,750,000"
153,Carlos Carrasco,CLE,SP,"$8,750,000",4 (2015-18),"$22,000,000","$5,500,000"
154,Salvador Perez,KC,C,"$8,700,000",6 (2016-21),"$54,500,000","$9,083,333"
155,Jonathan Schoop,BAL,2B,"$8,500,000",1 (2018),"$8,500,000","$8,500,000"
156,Wilson Ramos,TB,C,"$8,500,000",2 (2017-18),"$12,500,000","$6,250,000"
157,Drew Pomeranz,BOS,SP,"$8,500,000",1 (2018),"$8,500,000","$8,500,000"
158,DJ LeMahieu,COL,2B,"$8,500,000",1 (2018),"$8,500,000","$8,500,000"
159,Mike Minor,TEX,SP,"$8,333,333",3 (2018-20),"$28,000,000","$9,333,333"
160,Luis Valbuena,LAA,1B,"$8,250,000",2 (2017-18),"$15,000,000","$7,500,000"
161,Asdrubal Cabrera,NYM,2B,"$8,250,000",1 (2018),"$8,250,000","$8,250,000"
162,Addison Reed,MIN,RP,"$8,250,000",2 (2018-19),"$16,750,000","$8,375,000"
163,Didi Gregorius,NYY,SS,"$8,250,000",1 (2018),"$8,250,000","$8,250,000"
164,Julio Teheran,ATL,SP,"$8,166,666",6 (2014-19),"$32,400,000","$5,400,000"
165,Starling Marte,PIT,OF,"$8,166,666",6 (2014-19),"$31,000,000","$5,166,667"
166,Bryan Shaw,COL,RP,"$8,166,666",3 (2018-20),"$27,000,000","$9,000,000"
167,Pat Neshek,PHI,RP,"$8,125,000",2 (2018-19),"$16,250,000","$8,125,000"
168,Todd Frazier,NYM,3B,"$8,000,000",2 (2018-19),"$17,000,000","$8,500,000"
169,Jason Castro,MIN,C,"$8,000,000",3 (2017-19),"$24,500,000","$8,166,667"
170,Kelvin Herrera,KC,RP,"$7,937,500",1 (2018),"$7,937,500","$7,937,500"
171,Jeurys Familia,NYM,RP,"$7,925,000",1 (2018),"$7,925,000","$7,925,000"
172,Yasmani Grandal,LAD,C,"$7,900,000",1 (2018),"$7,900,000","$7,900,000"
173,Hyun-Jin Ryu,LAD,SP,"$7,833,333",6 (2013-18),"$36,000,000","$6,000,000"
174,Brett Cecil,STL,RP,"$7,750,000",4 (2017-20),"$30,500,000","$7,625,000"
175,A.J. Pollock,ARI,OF,"$7,750,000",1 (2018),"$7,750,000","$7,750,000"
176,Juan Nicasio,SEA,RP,"$7,750,000",2 (2018-19),"$17,000,000","$8,500,000"
177,Ryan Madson,WSH,RP,"$7,666,667",3 (2016-18),"$22,000,000","$7,333,333"
178,Jake McGee,COL,RP,"$7,666,666",3 (2018-20),"$27,000,000","$9,000,000"
179,Miles Mikolas,STL,SP,"$7,500,000",2 (2018-19),"$15,500,000","$7,750,000"
180,Patrick Corbin,ARI,SP,"$7,500,000",1 (2018),"$7,500,000","$7,500,000"
181,Yonder Alonso,CLE,1B,"$7,500,000",2 (2018-19),"$16,000,000","$8,000,000"
182,Welington Castillo,CWS,C,"$7,500,000",2 (2018-19),"$15,000,000","$7,500,000"
183,Jacob deGrom,NYM,SP,"$7,400,000",1 (2018),"$7,400,000","$7,400,000"
184,Mike Dunn,COL,RP,"$7,333,333",3 (2017-19),"$19,000,000","$6,333,333"
185,Garrett Richards,LAA,SP,"$7,300,000",1 (2018),"$7,300,000","$7,300,000"
186,Anthony Rizzo,CHC,1B,"$7,285,714",7 (2013-19),"$41,000,000","$5,857,143"
187,Xander Bogaerts,BOS,SS,"$7,050,000",1 (2018),"$7,050,000","$7,050,000"
188,Charlie Morton,HOU,SP,"$7,000,000",2 (2017-18),"$14,000,000","$7,000,000"
189,Joe Smith,HOU,RP,"$7,000,000",2 (2018-19),"$15,000,000","$7,500,000"
190,Christian Yelich,MIL,OF,"$7,000,000",7 (2015-21),"$49,570,000","$7,081,429"
191,Junichi Tazawa,MIA,RP,"$7,000,000",2 (2017-18),"$12,120,000","$6,060,000"
192,Jason Vargas,NYM,SP,"$7,000,000",2 (2018-19),"$16,000,000","$8,000,000"
193,Jerry Blevins,NYM,RP,"$7,000,000",1 (2018),"$7,000,000","$7,000,000"
194,Adam Ottavino,COL,RP,"$7,000,000",3 (2016-18),"$10,400,000","$3,466,667"
195,Freddy Galvis,SD,SS,"$6,825,000",1 (2018),"$6,825,000","$6,825,000"
196,Gerrit Cole,HOU,SP,"$6,750,000",1 (2018),"$6,750,000","$6,750,000"
197,Jordy Mercer,PIT,SS,"$6,750,000",1 (2018),"$6,750,000","$6,750,000"
198,Evan Gattis,HOU,C,"$6,700,000",1 (2018),"$6,700,000","$6,700,000"
199,Avisail Garcia,CWS,OF,"$6,700,000",1 (2018),"$6,700,000","$6,700,000"
200,Trevor Bauer,CLE,SP,"$6,525,000",1 (2018),"$6,525,000","$6,525,000"
201,Jonathan Lucroy,OAK,C,"$6,500,000",1 (2018),"$6,500,000","$6,500,000"
202,Marcus Stroman,TOR,SP,"$6,500,000",1 (2018),"$6,500,000","$6,500,000"
203,Steve Cishek,CHC,RP,"$6,500,000",2 (2018-19),"$13,000,000","$6,500,000"
204,Juan Lagares,NYM,OF,"$6,500,000",5 (2015-19),"$23,553,696","$4,710,739"
205,Mitch Moreland,BOS,1B,"$6,500,000",2 (2018-19),"$13,000,000","$6,500,000"
206,Mike Moustakas,KC,3B,"$6,500,000",1 (2018),"$6,500,000","$6,500,000"
207,Logan Morrison,MIN,1B,"$6,500,000",1 (2018),"$6,500,000","$6,500,000"
208,Sonny Gray,NYY,SP,"$6,500,000",1 (2018),"$6,500,000","$6,500,000"
209,Tanner Roark,WSH,SP,"$6,475,000",1 (2018),"$6,475,000","$6,475,000"
210,Chris Archer,TB,SP,"$6,458,333",6 (2014-19),"$25,500,000","$4,250,000"
211,Andrew Cashner,BAL,SP,"$6,346,755",2 (2018-19),"$16,000,000","$8,000,000"
212,Adam Eaton,WSH,OF,"$6,300,000",5 (2015-19),"$23,500,000","$4,700,000"
213,Jake Odorizzi,MIN,SP,"$6,300,000",1 (2018),"$6,300,000","$6,300,000"
214,Jose Iglesias,DET,SS,"$6,275,000",1 (2018),"$6,275,000","$6,275,000"
215,Steve Pearce,TOR,1B,"$6,250,000",2 (2017-18),"$12,500,000","$6,250,000"
216,Jackie Bradley Jr.,BOS,OF,"$6,100,000",1 (2018),"$6,100,000","$6,100,000"
217,Kevin Kiermaier,TB,OF,"$6,083,333",6 (2017-22),"$54,000,000","$9,000,000"
218,Nicholas Castellanos,DET,OF,"$6,050,000",1 (2018),"$6,050,000","$6,050,000"
219,Yan Gomes,CLE,C,"$6,033,333",6 (2014-19),"$23,000,000","$3,833,333"
220,Tony Sipp,HOU,RP,"$6,000,000",3 (2016-18),"$18,000,000","$6,000,000"
221,Jed Lowrie,OAK,2B,"$6,000,000",1 (2018),"$6,000,000","$6,000,000"
222,Matt Joyce,OAK,OF,"$6,000,000",1 (2018),"$6,000,000","$6,000,000"
223,Santiago Casilla,OAK,RP,"$6,000,000",2 (2017-18),"$11,000,000","$5,500,000"
224,Alex Wood,LAD,SP,"$6,000,000",1 (2018),"$6,000,000","$6,000,000"
225,Martin Perez,TEX,SP,"$6,000,000",1 (2018),"$6,000,000","$6,000,000"
226,Eduardo Nunez,BOS,2B,"$6,000,000",1 (2018),"$6,000,000","$6,000,000"
227,Mike Fiers,DET,SP,"$6,000,000",1 (2018),"$6,000,000","$6,000,000"
228,Corey Dickerson,PIT,OF,"$5,950,000",1 (2018),"$5,950,000","$5,950,000"
229,Adeiny Hechavarria,TB,SS,"$5,900,000",1 (2018),"$5,900,000","$5,900,000"
230,Pedro Strop,CHC,RP,"$5,850,000",2 (2017-18),"$11,850,000","$5,925,000"
231,Sean Rodriguez,PIT,1B,"$5,750,000",2 (2017-18),"$11,500,000","$5,750,000"
232,Scooter Gennett,CIN,2B,"$5,700,000",1 (2018),"$5,700,000","$5,700,000"
233,Matt Harvey,NYM,SP,"$5,625,000",1 (2018),"$5,625,000","$5,625,000"
234,Kevin Gausman,BAL,SP,"$5,600,000",1 (2018),"$5,600,000","$5,600,000"
235,Lonnie Chisenhall,CLE,OF,"$5,587,500",1 (2018),"$5,587,500","$5,587,500"
236,David Phelps,SEA,RP,"$5,550,000",1 (2018),"$5,550,000","$5,550,000"
237,Luke Gregerson,STL,RP,"$5,500,000",2 (2018-19),"$11,000,000","$5,500,000"
238,Marc Rzepczynski,SEA,RP,"$5,500,000",2 (2017-18),"$11,000,000","$5,500,000"
239,Anthony Swarzak,NYM,RP,"$5,500,000",2 (2018-19),"$14,000,000","$7,000,000"
240,Shawn Kelley,WSH,RP,"$5,500,000",3 (2016-18),"$15,000,000","$5,000,000"
241,Eric Thames,MIL,1B,"$5,333,333",3 (2017-19),"$16,000,000","$5,333,333"
242,Roberto Osuna,TOR,RP,"$5,300,000",1 (2018),"$5,300,000","$5,300,000"
243,Michael Wacha,STL,SP,"$5,300,000",1 (2018),"$5,300,000","$5,300,000"
244,Alex Colome,TB,RP,"$5,300,000",1 (2018),"$5,300,000","$5,300,000"
245,Raisel Iglesias,CIN,RP,"$5,214,285",7 (2014-20),"$27,000,000","$3,857,143"
246,Brad Brach,BAL,RP,"$5,165,000",1 (2018),"$5,165,000","$5,165,000"
247,Marwin Gonzalez,HOU,1B,"$5,125,000",1 (2018),"$5,125,000","$5,125,000"
248,Cesar Hernandez,PHI,2B,"$5,100,000",1 (2018),"$5,100,000","$5,100,000"
249,Dellin Betances,NYY,RP,"$5,100,000",1 (2018),"$5,100,000","$5,100,000"
250,Jim Johnson,LAA,RP,"$5,000,000",2 (2017-18),"$10,000,000","$5,000,000"
251,Collin McHugh,HOU,RP,"$5,000,000",1 (2018),"$5,000,000","$5,000,000"
252,Curtis Granderson,TOR,OF,"$5,000,000",1 (2018),"$5,000,000","$5,000,000"
253,Chase Anderson,MIL,SP,"$5,000,000",2 (2018-19),"$11,750,000","$5,875,000"
254,Danny Salazar,CLE,SP,"$5,000,000",1 (2018),"$5,000,000","$5,000,000"
255,Brandon Kintzler,WSH,RP,"$5,000,000",1 (2018),"$5,000,000","$5,000,000"
256,Carlos Gonzalez,COL,OF,"$5,000,000",1 (2018),"$5,000,000","$5,000,000"
257,Shelby Miller,ARI,SP,"$4,900,000",1 (2018),"$4,900,000","$4,900,000"
258,James Paxton,SEA,SP,"$4,900,000",1 (2018),"$4,900,000","$4,900,000"
259,Eduardo Escobar,MIN,SS,"$4,850,000",1 (2018),"$4,850,000","$4,850,000"
260,Taijuan Walker,ARI,SP,"$4,825,000",1 (2018),"$4,825,000","$4,825,000"
261,Miguel Gonzalez,CWS,SP,"$4,750,000",1 (2018),"$4,750,000","$4,750,000"
262,Ender Inciarte,ATL,OF,"$4,700,000",5 (2017-21),"$30,525,000","$6,105,000"
263,Gregory Polanco,PIT,OF,"$4,700,000",5 (2017-21),"$35,000,000","$7,000,000"
264,Wil Myers,SD,OF,"$4,666,666",6 (2017-22),"$83,000,000","$13,833,333"
265,Jorge Soler,KC,OF,"$4,666,666",9 (2012-20),"$30,000,000","$3,333,333"
266,Ken Giles,HOU,RP,"$4,600,000",1 (2018),"$4,600,000","$4,600,000"
267,Billy Hamilton,CIN,OF,"$4,600,000",1 (2018),"$4,600,000","$4,600,000"
268,David Freese,PIT,3B,"$4,500,000",2 (2017-18),"$11,000,000","$5,500,000"
269,Brad Miller,TB,2B,"$4,500,000",1 (2018),"$4,500,000","$4,500,000"
270,Fernando Rodney,MIN,RP,"$4,500,000",1 (2018),"$4,500,000","$4,500,000"
271,Sean Doolittle,WSH,RP,"$4,450,000",5 (2014-18),"$10,500,000","$2,100,000"
272,Tucker Barnhart,CIN,C,"$4,437,500",4 (2018-21),"$16,000,000","$4,000,000"
273,Sam Dyson,SF,RP,"$4,425,000",1 (2018),"$4,425,000","$4,425,000"
274,Brad Hand,SD,RP,"$4,416,666",3 (2018-20),"$19,750,000","$6,583,333"
275,Jake Lamb,ARI,3B,"$4,275,000",1 (2018),"$4,275,000","$4,275,000"
276,Justin Smoak,TOR,1B,"$4,250,000",2 (2017-18),"$8,500,000","$4,250,000"
277,Justin Wilson,CHC,RP,"$4,250,000",1 (2018),"$4,250,000","$4,250,000"
278,Kolten Wong,STL,2B,"$4,200,000",5 (2016-20),"$25,500,000","$5,100,000"
279,Erasmo Ramirez,SEA,SP,"$4,200,000",1 (2018),"$4,200,000","$4,200,000"
280,Kyle Gibson,MIN,SP,"$4,200,000",1 (2018),"$4,200,000","$4,200,000"
281,Kyle Hendricks,CHC,SP,"$4,175,000",1 (2018),"$4,175,000","$4,175,000"
282,Matt Shoemaker,LAA,SP,"$4,125,000",1 (2018),"$4,125,000","$4,125,000"
283,Yangervis Solarte,TOR,3B,"$4,125,000",2 (2017-18),"$7,500,000","$3,750,000"
284,Hector Rondon,HOU,RP,"$4,000,000",2 (2018-19),"$8,500,000","$4,250,000"
285,Yusmeiro Petit,OAK,RP,"$4,000,000",2 (2018-19),"$10,000,000","$5,000,000"
286,Tyler Flowers,ATL,C,"$4,000,000",1 (2018),"$4,000,000","$4,000,000"
287,Alex Avila,ARI,C,"$4,000,000",2 (2018-19),"$8,250,000","$4,125,000"
288,Matt Adams,WSH,1B,"$4,000,000",1 (2018),"$4,000,000","$4,000,000"
